==================================================
BÁO CÁO PHÂN TÍCH KHOAI TÂY
==================================================
Thời gian: 2025-09-23 16:27:36

Nguồn dữ liệu: Video: potato.mp4
Chế độ xử lý: Kiểm tra chất lượng

THỐNG KÊ XỬ LÝ:
- Tổng số đối tượng: 344
- Frames đã xử lý: 291
- Thời gian xử lý: 92.09 giây
- FPS trung bình: 3.16

PHÂN TÍCH CHẤT LƯỢNG:
- Chất lượng TỐT: 308 (89.5%)
- Chất lượng KÉM: 36 (10.5%)

Ngưỡng chất lượng: 70%
(Confidence ≥ 70% = TỐT, < 70% = KÉM)

✓ ĐÁNH GIÁ: Chất lượng tổng thể TỐT

THAM SỐ KỸ THUẬT:
- Model: best_ChatLuong3.pt
- Confidence threshold: 0.50
- IOU threshold: 0.50
- Vùng đếm: 9 điểm
- Kích thước khung hình: 1920x1080

============================================================
CHI TIẾT KIỂM TRA CHẤT LƯỢNG:
============================================================
ID     Chất lượng   Phần trăm  Confidence   Tọa độ         
------------------------------------------------------------
1      TỐT          100.0     % 0.886        (1186,290)     
2      TỐT          100.0     % 0.875        (1457,310)     
3      TỐT          100.0     % 0.869        (1377,518)     
4      TỐT          100.0     % 0.864        (1444,398)     
5      TỐT          100.0     % 0.861        (1426,367)     
7      TỐT          99.9      % 0.849        (1083,308)     
8      TỐT          99.6      % 0.846        (1448,295)     
9      TỐT          88.8      % 0.838        (1444,243)     
11     TỐT          97.6      % 0.826        (1459,237)     
12     TỐT          97.2      % 0.822        (1326,458)     
15     TỐT          92.8      % 0.778        (1456,322)     
16     TỐT          92.6      % 0.776        (1113,204)     
17     TỐT          92.1      % 0.771        (1440,376)     
18     TỐT          91.2      % 0.762        (1436,347)     
22     TỐT          89.8      % 0.748        (1437,302)     
24     TỐT          88.8      % 0.738        (1460,293)     
27     TỐT          88.5      % 0.735        (1446,392)     
29     TỐT          86.7      % 0.717        (1445,244)     
30     TỐT          86.6      % 0.716        (1459,196)     
31     TỐT          86.0      % 0.710        (1449,308)     
32     TỐT          85.8      % 0.708        (1450,251)     
34     TỐT          84.5      % 0.695        (1449,257)     
35     TỐT          84.0      % 0.690        (607,597)      
36     TỐT          83.5      % 0.685        (1463,234)     
37     TỐT          83.4      % 0.684        (1465,262)     
39     TỐT          80.9      % 0.659        (1459,239)     
42     TỐT          78.0      % 0.630        (1426,216)     
44     TỐT          80.6      % 0.656        (1416,466)     
47     TỐT          72.7      % 0.577        (1456,214)     
48     TỐT          72.5      % 0.575        (554,209)      
49     TỐT          72.5      % 0.575        (1460,217)     
50     TỐT          71.3      % 0.563        (600,426)      
51     TỐT          70.1      % 0.551        (1286,293)     
53     KÉM          68.8      % 0.538        (1382,742)     
54     KÉM          67.8      % 0.528        (488,559)      
55     KÉM          66.7      % 0.517        (749,233)      
57     KÉM          66.8      % 0.518        (1436,220)     
59     TỐT          89.1      % 0.741        (1449,205)     
60     TỐT          75.4      % 0.604        (1448,348)     
62     TỐT          78.7      % 0.637        (745,267)      
63     TỐT          89.8      % 0.748        (1459,221)     
64     TỐT          76.8      % 0.618        (1451,337)     
68     TỐT          71.2      % 0.562        (1435,422)     
80     TỐT          70.7      % 0.557        (692,196)      
83     TỐT          71.7      % 0.567        (1433,423)     
86     TỐT          78.3      % 0.633        (1447,234)     
87     TỐT          72.4      % 0.574        (740,266)      
91     TỐT          74.2      % 0.592        (991,315)      
93     TỐT          71.8      % 0.568        (1460,262)     
102    TỐT          74.2      % 0.592        (544,402)      
106    KÉM          66.7      % 0.517        (679,216)      
112    TỐT          79.2      % 0.642        (1429,561)     
113    TỐT          73.5      % 0.585        (447,437)      
125    TỐT          78.4      % 0.634        (609,214)      
129    TỐT          76.2      % 0.612        (1429,470)     
130    TỐT          77.5      % 0.625        (399,433)      
132    TỐT          76.5      % 0.615        (1431,327)     
